meanings,word,score
"ブルートゥース,ぶるーとぅーす",Bluetooth,0
"ブルートゥースヘッドセットを身に着けた人,ぶるーとぅーすへっどせっとをみにつけたにん",Bluetoother,0
"ブラフ,ぶらふ",bluff,0
"ブラフ,ぶらふ",Bluff,0
"ぶっきらぼうなこと,ぶっきらぼうなこと",bluffness,0
"ブラフトン,ぶらふとん",Bluffton,0
"ブルーイング,ぶるーいんぐ",bluing,0
"ブルメナウ,ぶるめなう",Blumenau,0
"無愛想さ,ぶあいそうさ",bluntness,0
"ブルタック,ぶるたっく",BluTack,0
"ブリン,ぶりん",Blyn,0
"ブライズ,ぶらいず",Blyth,0
"ブライスビル,ぶらいすびる",Blytheville,0
"舞台,ぶたい",board,4
"ブードゥー教の呪術師,ぶーどぅーきょうのじゅじゅつし",bocor,0
"ブーデン,ぶーでん",Boden,0
"ブッダガヤー,ぶっだがやー",Bodh Gaya,0
"仏陀伽耶,ぶっだかや",Bodh Gaya,0
"物体,ぶったい",body,7
"ぶざまなやっつけ仕事,ぶざまなやっつけしごと",bog-up,0
"ブギーマン,ぶぎーまん",bogeyman,0
"ブギーマン,ぶぎーまん",bogyman,0
"文例集,ぶんれいしゅう",boilerplate,0
"ブー,ぶー",boo,0
"ブービートラップ,ぶーびーとらっぷ",Booby Trap,0
"ブードル,ぶーどる",boodle,0
"ブーガルー,ぶーがるー",boogaloo,0
"ブスの黒人女性,ぶすのこくじんじょせい",boogerbear,0
"ブギーマン,ぶぎーまん",boogeyman,0
"ブギウギ,ぶぎうぎ",boogie,0
"ブギーナイツ,ぶぎーないつ",Boogie Nights,0
"ブギウギ,ぶぎうぎ",boogie-woogie,0
"ブギーマン,ぶぎーまん",boogieman,0
"ブック・オブ・デイズ,ぶっく・おぶ・でいず",Book of Days,0
"ブック・オブ・ラブ／あの日の恋,ぶっく・おぶ・らぶ／あのにちのこい",Book of Love,0
"ブック・ビルディング方式,ぶっく・びるでぃんぐほうしき",book-building,0
